rownames	cd14_sample1	cd14_sample2	cd4_sample1	cd4_sample2	cd14_sample3	cd14_sample4	cd14_sample5	cd14_sample6	cd4_sample3	cd4_sample4	cd4_sample5	cd4_sample6
AARS2	76	90	718	224	266	552	348	191	679	1,097	786	1,130
AARSD1	176	282	550	427	649	843	713	1,152	1,169	1,579	1,129	1,447
AASDH	872	1,587	395	422	406	1,006	1,227	987	700	1,206	1,192	812
AASDHPPT	1,134	1,173	1,194	1,156	2,277	2,500	2,441	2,999	2,192	2,937	3,223	1,563
AASS	149	46	548	357	32	96	29	103	307	388	147	817
AATBC	557	737	25	0	213	404	556	869	66	65	25	47
AATF	1,126	1,754	1,386	1,329	4,398	4,209	3,945	4,275	3,551	3,165	3,804	3,730
AATK	60	34	13	0	388	311	184	169	0	2	0	4
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABALON	64	130	74	198	419	240	172	283	251	209	170	210
ABAT	271	327	76	73	299	653	178	348	204	333	256	178
ABCA1	983	878	539	107	213	2,125	1,048	536	337	1,791	308	128
ABCA10	10	5	110	16	0	7	43	0	21	6	30	63
ABCA11P	17	115	87	214	195	76	180	197	591	366	243	338
ABCA12	48	6	111	23	0	0	8	1	1	0	1	0
ABCA13	172	36	102	31	3	17	79	10	20	2	18	22
ABCA17P	9	1	12	5	1	2	0	1	21	7	2	4
ABCA2	10	69	317	675	144	126	75	174	383	363	474	522
ABCA3	33	12	133	390	58	92	0	42	319	233	372	457
ABCA4	18	5	21	9	0	0	10	1	0	0	0	0
ABCA5	59	8	1,098	1,312	137	140	36	175	1,041	1,345	1,330	2,022
ABCA6	45	14	32	7	11	12	101	29	15	49	19	48
ABCA7	1,744	2,844	2,088	3,664	2,117	2,182	2,442	2,510	1,804	2,536	3,635	4,962
ABCA8	6	4	17	4	0	0	0	0	0	0	1	0
ABCA9	6	5	17	12	3	8	9	1	10	16	1	10
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	16	0	271	102	3	90	65	211	600	998	1,944	925
ABCB10	909	846	597	587	1,023	1,071	1,390	1,061	1,272	478	915	1,434
ABCB11	1	0	6	0	0	0	0	0	0	0	0	0
ABCB4	2	2	6	22	0	12	0	3	4	3	0	3
ABCB5	70	137	76	3	7	3	5	10	5	0	2	4
ABCB6	125	0	349	337	45	91	86	124	693	983	430	487
ABCB7	891	159	331	235	687	1,243	1,495	2,506	1,161	977	1,309	1,133
ABCB8	161	186	326	269	1,418	1,035	723	717	859	1,101	1,044	1,288
ABCB9	6	0	12	27	3	12	14	36	76	161	28	122
ABCC1	537	500	1,204	522	795	663	1,445	783	1,739	784	1,299	2,035
ABCC10	548	375	565	1,065	1,375	978	483	1,094	1,573	1,246	1,893	2,272
ABCC11	4	0	14	7	0	0	3	0	0	12	0	5
ABCC12	1	0	27	29	0	0	18	7	0	0	1	0
ABCC13	7	2	36	3	1	1	6	2	20	1	5	10
ABCC2	2	1	138	234	139	69	180	88	350	285	338	196
ABCC3	776	711	0	1	374	1,341	775	1,915	0	72	1	40
ABCC4	64	252	497	251	98	621	152	614	445	637	596	452
ABCC5	823	578	984	126	387	750	1,822	955	835	1,197	1,457	1,208
ABCC5-AS1	1	0	3	0	0	0	0	0	0	2	0	0
ABCC6	249	0	75	20	279	250	516	369	2	2	24	2
ABCC6P1	60	48	224	0	0	0	40	1	0	0	0	21
ABCC6P2	0	0	0	5	0	0	0	0	2	0	0	0
ABCC8	2	9	1	0	0	0	4	0	0	0	0	0
ABCC9	3,246	2,097	7,721	2,618	399	421	821	379	787	456	578	1,134
ABCD1	159	206	3	12	626	453	477	450	44	204	71	100
ABCD2	92	0	1,211	1,125	3	24	1	28	1,458	2,301	2,428	1,654
ABCD3	667	2,127	851	584	1,596	2,185	1,937	2,186	1,623	2,402	1,697	1,134
ABCD4	310	82	461	553	1,000	1,109	1,574	1,179	1,131	1,196	1,231	1,817
ABCE1	479	700	1,851	1,704	1,617	1,977	2,262	2,848	7,032	6,666	4,602	3,537
ABCF1	567	1,684	658	1,660	2,411	2,731	1,989	3,027	2,835	3,799	2,702	3,064
ABCF2	780	391	862	1,012	3,742	3,928	2,645	2,290	3,489	4,890	3,652	3,228
ABCF3	826	1,136	748	1,028	2,903	2,339	2,356	1,944	2,972	2,671	2,389	2,629
ABCG1	345	399	760	456	244	758	458	445	415	2,393	918	612
ABCG2	4	0	17	5	1	2	51	78	0	31	77	5
ABCG4	0	1	0	0	0	0	68	0	0	0	0	0
ABCG5	0	3	172	0	9	0	8	0	11	0	0	13
ABCG8	0	0	0	0	1	0	8	0	0	0	0	0
ABHD1	0	1	1	9	8	19	34	9	26	77	31	35
ABHD10	1,027	1,990	581	623	1,488	2,449	3,124	2,242	2,229	1,637	2,581	1,732
ABHD11	273	304	178	210	1,875	1,120	771	630	450	341	431	612
ABHD11-AS1	0	0	0	0	85	25	0	0	0	5	4	0
ABHD12	669	505	413	418	2,237	1,879	2,942	2,372	1,216	884	1,651	1,409
ABHD12B	124	80	1	16	115	64	91	64	3	0	0	4
ABHD13	1,322	1,174	841	850	3,973	3,284	3,217	3,571	2,195	2,527	2,131	1,420
ABHD14A	74	133	390	568	448	327	490	456	1,816	1,912	1,882	1,933
ABHD14A-ACY1	0	216	0	0	0	0	0	0	0	214	33	149
ABHD14B	282	745	760	1,385	1,856	1,104	2,007	1,761	2,973	2,256	2,916	3,424
ABHD15	109	459	472	427	312	476	502	426	405	310	661	777
ABHD16A	1,672	1,675	558	421	5,415	4,511	3,479	4,170	1,331	1,816	1,570	2,248
ABHD16B	18	79	5	92	157	91	96	121	97	46	58	46
ABHD17A	456	853	730	1,225	4,389	2,062	1,707	1,688	2,396	2,414	2,544	3,137
ABHD17B	401	613	360	270	921	1,046	1,132	1,017	831	924	1,144	712
ABHD17C	75	200	0	88	139	28	205	13	108	25	82	90
ABHD2	1,758	3,660	434	1,036	3,587	4,585	3,178	2,914	1,472	1,469	1,337	961
ABHD3	2,619	2,415	1,864	1,091	2,409	3,764	5,342	4,513	3,655	3,728	4,156	3,276
ABHD4	819	840	329	564	920	1,129	1,292	1,255	385	487	1,048	939
ABHD5	1,635	1,248	375	456	2,213	2,628	2,661	2,940	455	304	404	447
ABHD6	76	220	214	15	605	1,091	968	632	312	408	518	106
ABHD8	363	255	13	90	1,251	1,202	706	703	226	167	191	201
ABI1	3,508	6,103	3,338	2,802	10,172	9,712	7,800	9,319	8,722	7,360	8,378	6,179
ABI2	167	175	1,172	784	58	228	535	907	910	1,514	1,392	1,211
ABI3	735	756	240	918	1,233	2,516	1,411	4,103	940	1,110	978	673
ABI3BP	1	3	5	7	0	1	4	0	3	17	7	2
ABL1	453	1,348	349	766	908	616	488	1,090	697	417	742	1,100
ABL2	415	74	410	419	403	620	425	205	673	827	476	857
ABLIM1	142	5	8,407	10,717	17	94	9	196	15,603	17,649	18,912	13,965
ABLIM2	3	0	45	137	0	6	30	0	16	55	116	103
ABLIM3	132	238	8	0	124	226	223	201	39	6	5	6
ABO	0	0	159	0	0	0	0	13	0	310	0	0
ABR	2,132	2,475	1,039	2,212	3,476	3,967	2,982	2,776	2,261	2,210	1,764	1,994
ABRA	15	52	52	0	26	42	36	38	26	19	20	22
ABRACL	1,158	1,300	1,509	1,087	7,937	7,715	4,224	4,669	4,462	5,805	4,791	3,245
ABT1	971	414	1,199	1,648	5,973	3,678	3,267	3,274	5,335	5,454	5,031	3,558
ABTB1	2,013	3,688	928	722	6,351	2,838	3,930	4,141	2,086	1,782	2,237	3,071
ABTB2	16	0	27	2	57	103	3	23	3	5	11	7
ACAA1	2,650	2,482	1,468	2,038	10,858	9,486	8,464	7,565	5,131	4,975	3,797	4,726
ACAA2	2,587	2,703	1,043	1,217	9,286	9,061	7,078	6,573	2,823	4,259	3,684	2,405
ACACA	98	539	329	959	547	603	409	465	780	1,976	1,066	784
ACACB	57	14	109	223	78	118	441	311	494	444	345	866
ACAD10	818	1,984	690	905	1,157	1,841	1,578	1,234	1,201	1,697	1,942	1,676
ACAD11	381	240	889	1,444	186	631	1,514	610	2,093	1,504	2,086	1,850
ACAD8	713	1,156	127	812	1,966	2,035	1,618	2,053	1,182	1,629	1,259	1,633
ACAD9	285	1,619	1,057	514	2,312	1,906	2,080	2,773	1,336	1,354	1,332	4,072
ACADL	29	0	23	1	0	0	0	0	1	0	0	0
ACADM	1,191	577	1,251	498	1,356	1,956	1,911	2,934	1,889	1,739	2,010	1,694
ACADS	127	260	190	580	2,792	1,794	1,255	1,248	931	1,010	933	946
ACADSB	623	1,125	1,052	1,467	735	769	1,778	1,314	3,479	2,673	3,009	3,013
ACADVL	9,397	8,953	3,844	4,057	27,437	22,916	19,632	18,128	7,350	8,822	7,709	9,971
ACAN	38	0	65	35	0	0	1	2	3	0	0	5
ACAP1	901	2,636	5,222	9,042	7,201	3,600	2,768	3,634	12,665	13,817	14,023	19,084
ACAP2	4,919	7,760	2,169	3,173	5,862	7,121	7,291	10,827	3,565	4,300	3,602	3,383
ACAP3	368	529	348	419	823	687	1,334	965	535	645	604	604
ACAT1	251	980	1,243	617	1,874	3,272	2,014	2,815	2,551	2,671	2,270	1,838
ACAT2	177	83	236	528	1,897	585	771	907	1,853	1,700	1,576	1,462
ACBD3	1,299	1,149	764	904	1,975	2,422	2,204	3,314	1,732	1,459	2,026	1,652
ACBD4	159	2	309	221	272	189	259	345	710	301	643	1,025
ACBD5	680	1,331	353	574	999	2,359	1,668	2,400	1,308	1,314	1,441	1,056
ACBD6	272	213	411	577	1,307	1,358	1,510	1,474	1,833	1,574	1,679	1,994
ACBD7	29	49	44	15	4	12	13	5	34	16	5	44
ACCS	190	746	310	566	1,189	1,251	2,262	622	1,045	1,009	1,262	836
ACCSL	2	0	8	0	0	17	3	0	0	0	0	0
ACD	284	415	426	414	988	530	830	1,126	906	1,072	1,107	1,559
ACE	1	0	103	190	0	2	0	32	172	55	153	635
ACE2	4	0	49	4	0	0	0	0	0	2	0	0
ACER1	0	0	0	52	1	11	0	0	48	57	57	83
ACER2	0	0	132	3	0	16	0	0	56	25	38	75
ACER3	2,434	3,733	345	497	6,195	4,640	2,542	4,582	474	369	660	459
ACHE	0	0	0	0	0	0	0	0	0	0	0	4
ACIN1	479	744	612	1,257	1,057	1,401	858	1,300	903	1,242	1,400	1,835
ACKR1	37	0	12	19	0	0	36	0	0	0	0	0
ACKR2	17	1	0	1	0	0	0	0	16	11	6	12
ACKR3	10	0	102	75	16	51	0	19	328	303	399	247
ACKR4	222	0	261	139	0	2	9	8	41	19	10	62
ACLY	3,535	3,980	1,429	3,474	6,713	7,569	4,568	6,217	4,708	4,717	4,602	5,053
ACMSD	0	3	5	2	0	3	0	0	0	0	0	0
ACO1	207	601	428	293	564	644	1,312	1,274	888	949	1,048	507
ACO2	1,582	1,517	1,079	1,376	8,572	6,104	5,199	5,276	2,954	3,902	3,360	3,674
ACOT1	13	15	32	7	96	52	15	30	107	51	93	91
ACOT11	48	0	0	12	49	98	49	124	3	16	16	30
ACOT12	0	0	9	0	0	3	0	0	0	5	6	0
ACOT13	746	525	872	455	1,223	1,326	1,021	824	718	1,091	1,053	876
ACOT2	40	114	255	121	420	196	86	84	671	510	664	503
ACOT4	8	2	116	0	24	26	11	1	276	354	380	286
ACOT6	0	0	1	0	0	1	4	6	0	0	0	0
ACOT7	1	0	1	124	59	78	35	58	353	346	259	222
ACOT8	541	287	220	361	2,234	2,059	1,590	1,748	625	890	1,011	959
ACOT9	1,375	1,377	478	547	4,237	4,484	3,374	4,254	1,182	649	1,459	1,363
ACOX1	1,715	1,739	260	329	3,467	3,569	2,377	2,667	1,113	947	1,058	1,050
ACOX2	4	52	12	0	2,521	965	101	89	13	0	1	0
ACOX3	171	1,057	146	210	1,146	906	968	879	278	505	338	240
ACOXL	5	0	18	0	3	21	0	3	0	0	7	0
ACP1	1,146	1,654	1,497	2,392	5,319	4,356	4,838	5,617	6,728	6,256	6,229	5,920
ACP2	347	409	155	249	1,633	1,940	774	942	728	820	870	812
ACP5	578	414	88	233	373	151	611	1,046	792	426	449	568
ACP6	54	66	118	385	59	134	497	89	596	429	536	626
ACPP	2,186	1,354	220	100	4,635	4,329	2,575	3,146	16	2	11	10
ACPT	0	0	0	1	0	0	0	0	0	0	0	2
ACR	0	0	0	0	0	0	0	0	1	0	0	0
ACRBP	199	752	56	28	554	664	749	896	19	80	80	129
ACRC	75	7	99	235	8	133	81	82	160	183	62	228
ACRV1	19	0	1	0	0	1	0	5	0	2	0	0
ACSBG1	3	9	5	4	1	2	70	26	2	12	2	22
ACSBG2	4	10	16	3	0	0	6	0	0	0	2	1
ACSF2	116	0	4	160	26	72	71	296	129	95	94	173
ACSF3	455	646	450	267	2,237	1,421	982	1,943	1,415	1,222	1,545	1,536
ACSL1	6,689	7,283	57	873	65,932	38,002	12,659	12,255	1,354	1,143	1,209	475
ACSL3	1,279	2,062	991	914	2,888	3,715	2,045	2,445	2,335	2,285	2,002	1,382
ACSL4	2,245	3,192	470	578	4,173	4,588	3,523	4,580	1,268	916	946	972
ACSL5	1,633	3,104	811	4,150	2,382	4,474	3,796	4,042	5,344	4,682	5,584	4,945
ACSL6	44	313	310	189	29	7	58	75	979	939	955	899
ACSM1	21	3	5	5	0	0	14	0	5	0	11	0
ACSM2A	17	0	18	1	1	0	1	0	0	0	0	0
ACSM2B	3	1	1	1	0	0	5	0	0	0	0	0
ACSM3	6	2	68	124	0	19	51	60	310	211	326	232
ACSM4	7	0	9	2	0	0	0	0	0	0	5	0
ACSM5	35	0	102	0	1	2	0	0	0	0	0	0
ACSM6	3	0	0	3	0	0	0	0	0	0	0	0
ACSS1	2,105	1,493	944	2,206	2,343	2,958	3,448	3,875	3,219	3,403	5,332	5,133
ACSS2	1,511	2,073	552	646	4,968	3,273	3,109	2,889	839	1,032	666	700
ACSS3	11	4	59	22	3	2	1	12	3	1	1	7
ACTA1	0	12	0	0	0	1	0	0	0	1	0	0
ACTA2	366	190	266	166	432	412	584	218	158	285	327	236
ACTA2-AS1	23	9	6	21	0	1	4	3	6	5	5	3
ACTB	332,631	465,715	97,076	161,416	2,039,590	1,647,840	891,469	1,125,710	409,727	467,859	376,719	347,913
ACTBL2	0	0	214	0	0	0	0	0	2	0	0	12
ACTC1	0	0	1	1	0	0	0	0	0	2	0	0
ACTG1	24,314	27,765	13,197	23,395	168,961	143,261	58,154	76,645	57,247	73,285	50,173	42,251
ACTG1P17	37	5	47	3	5	1	11	24	76	2	37	107
ACTG1P20	113	367	284	2	194	206	130	113	263	116	319	424
ACTG1P4	44	80	169	67	46	27	1	0	141	88	35	108
ACTG2	0	5	1	1	0	0	1	0	11	35	2	0
ACTL10	152	0	78	124	152	187	194	129	193	137	178	121
ACTL6A	659	831	1,189	1,099	1,891	2,437	2,619	1,850	3,169	3,219	2,692	2,283
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	2	0	3	0	1	0	0	0	1	0	0
ACTL7B	0	0	0	90	0	0	0	1	0	1	0	1
ACTL8	74	0	0	0	0	0	35	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	5,039	7,687	1,919	1,607	17,445	12,161	12,716	11,392	4,404	9,556	7,687	7,602
ACTN1-AS1	0	0	0	0	0	2	0	0	0	0	0	0
ACTN2	1	3	5	5	25	0	23	43	0	0	0	4
ACTN3	0	0	4	0	0	0	0	0	0	0	2	2
ACTN4	751	1,160	359	671	1,654	1,818	1,465	1,763	929	492	898	919
ACTR10	1,542	2,095	765	1,275	7,280	6,096	3,733	5,272	3,177	3,888	3,829	3,333
ACTR1A	1,832	2,326	1,320	1,315	11,269	8,461	5,821	6,465	2,919	3,412	3,538	3,035
ACTR1B	146	73	260	687	1,000	518	634	804	818	743	949	1,273
ACTR2	14,201	19,438	6,445	7,286	31,096	38,434	13,586	19,388	12,607	13,121	12,473	10,964
ACTR3	12,332	17,132	7,426	9,245	35,038	46,586	30,766	38,100	29,247	30,181	23,857	15,743
ACTR3B	206	20	251	180	268	192	185	208	442	472	521	307
ACTR3BP2	47	20	85	1	0	0	0	0	3	0	2	0
ACTR3BP5	121	39	155	10	0	0	3	1	1	0	2	2
ACTR3C	27	1	34	118	52	79	0	26	114	214	126	105
ACTR5	257	452	161	517	622	469	863	575	1,170	938	1,005	1,184
ACTR6	535	221	479	966	1,509	1,058	1,059	1,106	1,929	1,903	2,145	1,678
ACTR8	568	282	491	877	1,419	1,580	1,762	1,299	1,316	1,197	1,139	1,049
ACTRT1	75	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	0	0	0	0	0	1	0	18	1	8	0
ACVR1	345	943	399	240	378	568	422	857	817	307	780	931
ACVR1B	271	289	13	140	1,057	705	288	267	155	65	88	172
ACVR1C	165	9	384	38	0	60	59	71	528	437	404	310
ACVR2A	194	48	539	418	86	485	1,037	586	1,970	1,264	891	993
ACVR2B	42	220	517	409	46	30	50	35	993	518	386	559
ACVR2B-AS1	0	1	1	1	0	2	0	0	21	0	7	3
ACVRL1	19	3	1	0	190	306	147	117	4	1	0	7
ACY1	195	56	3	125	575	754	500	570	828	654	318	363
ACY3	0	0	0	0	0	12	0	26	67	11	14	102
ACYP1	61	105	150	89	59	104	114	174	295	342	401	620
ACYP2	128	102	84	49	448	315	313	501	284	458	302	224
ADA	235	149	903	1,605	62	397	507	806	2,176	1,175	2,477	2,015
ADAD1	8	13	19	0	0	0	0	0	5	0	2	0
ADAD2	0	0	0	3	0	0	0	0	4	0	1	3
ADAL	220	77	336	69	157	219	225	184	492	531	378	456
ADAM10	8,232	12,092	3,558	2,679	10,891	15,073	13,287	19,327	6,871	8,383	8,043	5,079
ADAM11	0	0	41	0	0	0	1	0	40	16	2	21
ADAM12	32	0	337	189	1	30	9	86	100	504	385	268
ADAM15	1,904	1,840	154	222	7,559	5,163	3,511	4,500	421	530	690	802
ADAM17	1,882	2,022	769	500	2,296	3,338	3,079	4,459	1,348	1,397	1,501	1,127
ADAM18	9	8	1	9	0	0	0	2	6	0	0	0
ADAM19	632	1,568	838	1,154	4,066	3,211	1,560	890	1,176	1,092	1,541	1,652
ADAM1A	66	184	118	124	74	235	230	84	385	263	411	393
ADAM2	3	0	9	1	0	0	0	0	0	0	0	0
ADAM20	12	0	1	0	0	0	0	0	0	0	0	0
ADAM20P1	0	0	94	1	0	0	0	0	12	1	2	45
ADAM21	2	0	40	0	0	0	6	0	20	0	2	6
ADAM21P1	5	0	19	0	0	0	10	0	1	0	6	0
ADAM22	184	2	27	65	0	23	1	32	245	197	112	211
ADAM23	3	0	98	136	0	3	0	19	178	81	328	430
ADAM28	845	805	93	55	691	747	973	1,268	33	0	1	5
ADAM29	2	0	4	0	0	0	0	0	0	0	0	0
ADAM30	124	0	97	12	0	0	0	0	0	0	0	0
ADAM32	5	0	4	0	0	0	1	0	0	0	0	0
ADAM33	1	1	3	3	0	1	1	0	2	0	0	0
ADAM3A	2	22	12	5	1	0	4	0	1	0	0	1
ADAM5	2	0	1	3	0	0	0	0	1	2	0	0
ADAM6	38	0	9	0	0	0	35	0	0	0	1	3
ADAM7	9	0	36	0	0	0	0	0	12	8	0	0
ADAM8	1,358	5,202	1,619	3,936	12,004	2,185	6,913	5,745	2,228	2,438	3,996	4,502
ADAM9	3,715	6,179	22	146	6,744	8,086	3,762	5,504	296	103	125	178
ADAMDEC1	6	37	89	1	0	100	98	36	0	0	3	4
ADAMTS1	57	0	4	7	32	24	1	0	42	27	0	64
ADAMTS10	4	3	178	255	32	7	4	71	279	271	303	460
ADAMTS12	16	15	9	9	3	0	1	1	2	0	0	2
ADAMTS13	0	8	10	0	0	7	4	0	24	6	8	26
ADAMTS14	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS15	0	0	1	0	0	0	0	0	0	0	0	1
ADAMTS16	0	0	18	5	0	2	8	0	0	1	0	6
ADAMTS17	3	4	65	28	29	2	50	2	181	108	115	114
ADAMTS18	17	2	87	66	0	0	31	0	7	0	0	59
ADAMTS19	15	1	41	1	0	0	4	0	0	0	6	1
ADAMTS19-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	414	5	0	1	1,515	6,446	152	59	0	0	0	1
ADAMTS20	16	23	19	6	0	9	3	3	4	0	0	0
ADAMTS3	90	0	105	47	3	6	0	0	0	0	0	0
ADAMTS4	17	26	39	33	0	2	5	12	15	44	132	62
ADAMTS5	223	332	552	24	103	133	293	474	46	1	16	98
ADAMTS6	27	0	118	31	0	1	8	0	148	7	38	95
ADAMTS7	0	3	0	0	0	0	9	0	0	0	0	0
ADAMTS7P1	0	0	0	19	0	0	10	0	4	0	2	0
ADAMTS8	36	0	10	3	0	5	0	0	0	1	0	10
ADAMTS9	17	7	39	7	0	14	5	0	4	0	2	0
ADAMTS9-AS1	5	0	12	0	3	0	0	0	0	0	0	4
ADAMTS9-AS2	0	92	41	0	0	0	0	0	0	0	0	0
ADAMTSL1	1	5	9	7	0	0	14	0	8	0	0	0
ADAMTSL2	3	2	4	3	0	6	6	0	8	9	8	30
ADAMTSL3	12	5	248	33	13	0	4	0	18	3	0	3
ADAMTSL4	320	754	53	16	1,143	1,044	630	885	19	1	7	21
ADAMTSL4-AS1	65	33	23	29	65	55	48	15	38	30	19	25
ADAMTSL5	0	64	112	242	1	2	3	8	145	247	166	329
ADAP1	1,845	2,472	61	388	7,461	5,003	5,694	4,384	168	136	144	508
ADAP2	1,993	1,692	190	120	7,819	6,560	3,655	4,434	76	8	27	13
ADAR	4,184	5,999	4,363	6,948	9,912	13,909	13,022	18,261	17,513	15,744	17,661	16,907
ADARB1	131	13	514	608	235	205	73	75	833	480	416	1,917
ADARB2	11	0	1	9	0	0	24	43	20	0	62	5
ADARB2-AS1	8	0	0	0	0	0	1	0	0	0	0	0
ADAT1	379	864	767	1,259	893	1,027	872	961	1,663	1,717	1,482	1,786
ADAT2	269	83	691	1,048	148	325	396	610	1,737	1,736	1,241	1,259
ADAT3	2	110	0	59	423	155	133	161	74	133	76	196
ADCK1	105	250	8	51	78	487	564	382	182	411	340	334
ADCK2	629	42	44	227	620	609	1,132	874	704	668	873	902
ADCK3	1,026	1,462	849	922	1,234	1,701	2,483	3,481	3,215	4,110	2,930	2,906
ADCK4	382	480	66	285	2,173	1,506	880	1,216	451	592	750	820
ADCK5	141	458	186	504	665	742	832	798	508	631	670	868
ADCY1	84	167	54	5	0	0	9	0	5	44	1	11
ADCY10	25	17	6	23	0	32	4	0	1	0	0	1
ADCY10P1	51	133	164	174	1	34	18	138	332	282	349	467
ADCY2	6	2	218	60	4	0	49	1	5	2	1	18
ADCY3	7	1,580	460	166	3,663	257	172	320	534	331	415	750
ADCY4	0	197	25	1	353	341	20	92	91	0	71	103
ADCY5	35	0	0	287	41	28	13	0	98	90	88	71
ADCY6	23	17	0	0	0	18	6	0	1	0	0	13
ADCY7	7,294	7,447	2,616	5,925	9,646	13,619	11,040	12,858	4,752	5,660	6,698	8,368
ADCY8	3	0	9	1	0	0	5	0	0	0	2	4
ADCY9	309	223	105	517	127	183	491	400	137	47	118	106
ADCYAP1	41	0	79	0	0	2	30	0	2	2	0	12
ADCYAP1R1	0	12	1	1	0	0	4	0	2	0	0	17
ADD1	1,982	2,283	1,585	2,855	5,426	5,109	5,266	4,759	5,331	5,728	4,868	5,968
ADD2	0	0	112	147	49	0	0	0	627	207	131	122
ADD3	6,746	6,999	14,120	13,305	8,954	13,784	11,436	14,069	24,980	27,626	31,540	24,681
ADD3-AS1	2	8	5	3	22	16	23	8	0	1	48	22
ADGB	10	15	6	3	1	0	6	0	3	0	0	3
ADGRA1	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	99	63	3	0	89	86	177	123	8	4	9	4
ADGRA3	6	12	22	117	0	18	30	0	118	36	208	23
ADGRB1	0	1	0	0	7	0	1	32	4	0	8	1
ADGRB2	1	0	0	127	0	0	0	2	11	5	114	106
ADGRB3	67	2	18	1	28	38	10	63	3	0	2	4
ADGRD1	20	484	1	0	62	147	1,345	776	0	0	34	0
ADGRE1	354	348	28	234	2,633	3,214	1,454	2,034	308	336	496	165
ADGRE2	2,715	3,813	17	109	8,936	7,410	5,710	5,434	46	29	30	11
ADGRE3	45	338	5	0	123	213	1,811	746	0	0	0	34
ADGRE4P	13	53	147	4	0	79	1	94	135	102	156	253
ADGRE5	8,207	13,161	4,921	9,340	18,169	15,039	21,585	19,844	10,196	12,812	10,139	12,211
ADGRF1	2	0	9	0	4	0	5	2	2	0	1	15
ADGRF2	0	0	13	2	0	5	0	0	0	0	1	0
ADGRF3	19	0	17	1	21	8	19	1	15	20	21	4
ADGRF4	13	0	16	0	0	0	1	0	0	4	0	2
ADGRF5	58	10	101	1	0	0	39	7	3	0	11	1
ADGRG1	5	160	36	687	34	134	21	463	320	186	82	520
ADGRG2	21	9	0	1	21	11	6	1	0	0	0	14
ADGRG3	0	25	0	0	6,486	919	169	0	17	0	0	15
ADGRG4	82	0	1	27	0	0	0	0	0	1	3	0
ADGRG5	0	0	0	363	37	18	90	147	252	115	299	393
ADGRG6	20	20	59	45	0	15	0	0	0	3	0	0
ADGRG7	5	9	34	1	0	0	0	0	0	0	2	0
ADGRL1	6	90	209	237	62	8	18	15	145	125	179	207
ADGRL2	25	5	151	6	0	0	6	0	2	0	2	16
